Portfolio Date,Common Factor Risk,Currency Risk,Currency/Market Interaction,Emerging Market,Factor Interaction,Industry,Selection Risk,Spread,Style,Term Structure,Covariance
10/31/2009,0.935512042,0.0119376,-0.017816727,0.001764641,-1.320838466,1.207539549,0.070367085,0.682104537,0.056479531,0.308462249,-1.338655193
11/30/2009,0.970930427,0.017778161,-0.053260333,0.001717063,-1.76618806,1.117503526,0.064551746,0.984754164,0.051717598,0.581426137,-1.819448393
12/31/2009,0.97445783,0.015301165,-0.039609365,0.000882144,-1.463435392,1.067742023,0.04985037,0.870397849,0.04404003,0.454831175,-1.503044757
1/31/2010,0.927859069,0.016344754,-0.011290754,0.001158562,-1.999815697,0.868832121,0.067086931,1.416507412,0.056476968,0.584699703,-2.01110645
2/28/2010,0.916710438,0.012161498,0.008245372,0.000957663,-2.09084337,0.765653236,0.062882692,1.612728865,0.057345887,0.570868157,-2.082597998
3/31/2010,0.959503009,0.00812816,-0.012489517,0.000991715,-1.811842952,1.081126498,0.044858348,1.224118147,0.048114166,0.416995435,-1.824332469
4/30/2010,0.936023169,0.007192023,0.034341237,0.000391555,-1.63445336,0.978911986,0.022443571,1.072454335,0.019701599,0.499017053,-1.600112123
5/31/2010,0.953957662,0.005677451,0.019480345,6.40E-05,-1.373439134,1.176419831,0.020884542,0.762386375,0.017987749,0.370538884,-1.353958789
6/30/2010,0.967949559,0.010233704,-0.004404153,0.000538214,-1.866639566,1.297834647,0.02622089,1.088808435,0.020838659,0.42656917,-1.871043719
7/31/2010,0.978405545,0.012838342,-0.029871035,0.000915419,-2.374334001,1.053652053,0.038627149,1.622262918,0.030552528,0.645356628,-2.404205036
8/31/2010,0.971078223,0.010721067,-0.019431007,1.05E-05,-2.415520563,1.114721291,0.037631717,1.690500172,0.028164135,0.553202666,-2.43495157
9/30/2010,0.960256834,0.021066215,-0.036632514,8.31E-06,-1.850585368,0.949080163,0.055309466,1.502243183,0.036155892,0.323354657,-1.887217882
10/31/2010,0.962133688,0.023935701,-0.039277967,9.21E-06,-1.716455371,0.773446673,0.053208578,1.534498707,0.041600979,0.329033491,-1.755733338
11/30/2010,0.868076501,0.01600255,0.072429432,0.000225641,-1.17676391,0.255575907,0.043491516,1.471020407,0.036274697,0.281743758,-1.104334477
12/31/2010,0.887401738,0.011325841,0.057863593,0.000166983,-0.940588572,0.157628075,0.043408828,1.328523609,0.039522214,0.302149429,-0.882724979
1/31/2011,0.900667157,0.007773754,0.055631758,0.000106954,-0.718947553,0.094611202,0.035927331,1.210454948,0.039859631,0.274581974,-0.663315795
2/28/2011,0.888758556,0.009846866,0.067970517,8.43E-05,-0.399460186,0.065987605,0.03342406,0.925015794,0.036360708,0.260770385,-0.331489669
3/31/2011,0.891358347,0.009512984,0.067489684,8.73E-05,-0.146757155,0.049778723,0.031638985,0.738637129,0.036158105,0.213454209,-0.079267471
4/30/2011,0.883920949,0.016778257,0.06825828,0.000120551,-0.015268569,0.08481687,0.031042515,0.536704644,0.034352364,0.243195089,0.052989711
5/31/2011,0.918132298,0.009110737,0.038068404,0.00018387,0.073658968,0.092844814,0.03468856,0.461003135,0.03916459,0.251276922,0.111727372
6/30/2011,0.919766712,0.00375925,0.039171268,0.000176791,0.209045231,0.100820734,0.03730277,0.366472141,0.035277534,0.207974282,0.2482165
7/31/2011,0.897841653,0.005045411,0.038835904,0.000198179,0.060844755,0.096046899,0.058277032,0.446871446,0.056941821,0.236938554,0.099680659
8/31/2011,0.882374837,0.020685113,0.0452249,0.000502493,-0.076302351,0.079620456,0.05171515,0.5429457,0.062845904,0.272762635,-0.031077451
9/30/2011,0.767885493,0.158658794,0.013119181,0.000833043,-0.388182234,0.228746879,0.060336532,0.626056636,0.083372684,0.217058485,-0.375063054
10/31/2011,0.966672768,0.143134144,-0.164264539,0.00229402,-0.12352207,0.329110632,0.054457627,0.533327549,0.084508634,0.140954002,-0.287786609
11/30/2011,0.958894529,0.15931533,-0.153080787,0.001794527,0.101242251,0.364188524,0.034870928,0.261513563,0.060092512,0.170063153,-0.051838537
12/31/2011,1.015451383,0.231348647,-0.284604167,0.00147332,0.125581532,0.414837017,0.037804137,0.260621161,0.058442627,0.154495726,-0.159022635
1/31/2012,0.876419862,0.226765594,-0.130523324,0.001216131,0.23796286,0.361927786,0.027337868,0.144948176,0.034716957,0.095647952,0.107439536
2/29/2012,0.684103233,0.134787901,0.135575203,0.000936693,-0.526490144,1.043161939,0.045533663,0.0615483,0.087273111,0.017673334,-0.390914941
3/31/2012,0.304061272,0.54225669,0.122800376,0.001155292,-0.087555557,0.281887925,0.030881661,0.068371718,0.038441807,0.001760088,0.035244819
4/30/2012,0.687152448,0.331011637,-0.110211234,0.003108415,0.150242414,0.240437956,0.092047149,0.184739161,0.083220182,0.025404321,0.040031179
5/31/2012,0.308824569,0.596682642,0.044746132,0.002000274,-0.078961048,0.181624035,0.049746657,0.142294419,0.051407709,0.01045918,-0.034214916
6/30/2012,0.682943505,0.489080327,-0.230418378,0.001217316,0.246632252,0.219698873,0.058394546,0.131273156,0.058738577,0.025383331,0.016213873
7/31/2012,0.619746688,0.497574279,-0.174408325,0.001741321,0.219508698,0.193525089,0.057087357,0.106838777,0.064156776,0.033976026,0.045100373
8/31/2012,0.900566474,0.285066085,-0.238963982,0.001466545,0.286737198,0.436594115,0.053331423,0.096581185,0.051986691,0.02720074,0.047773216
9/30/2012,0.768639516,0.187174277,-0.039277524,0.011225142,0.101058102,0.360292894,0.08346373,0.14444869,0.088195356,0.063419334,0.061780578
10/31/2012,0.698823105,0.239354385,-0.048822843,0.004685274,0.097761413,0.248658704,0.110645353,0.175222692,0.10633505,0.066159972,0.04893857
11/30/2012,0.764711685,0.196759018,-0.063035324,0.001446501,0.214952706,0.233866499,0.101564621,0.15175637,0.094350816,0.068338792,0.151917382
12/31/2012,0.777103796,0.115106536,-0.010693107,0.001569505,0.2273931,0.208736172,0.118482774,0.158859677,0.098276829,0.082268513,0.216699994
1/31/2013,0.530155658,0.188722666,0.11557533,0.011870332,-0.073509793,0.368835176,0.165546347,0.025976065,0.157675856,0.039308021,0.042065537
2/28/2013,0.334452614,0.349940014,0.198266752,0.00162081,-0.082929235,0.264262166,0.117340621,0.019146547,0.110211098,0.022141228,0.115337517
3/31/2013,0.261665376,0.49046956,0.148660787,0.001213182,-0.037719814,0.157720464,0.099204277,0.008525497,0.108435104,0.023490944,0.110940972
4/30/2013,0.38114517,0.417562838,0.078011548,0.001769032,0.016668173,0.182142157,0.123280444,0.009394754,0.138235332,0.032935722,0.094679721
