Per_capita_income,State,County_ID
DOUBLE,STRING,STRING
185180,AL,1
208260,AL,3
133160,AL,5
141050,AL,7
163250,AL,9
101630,AL,11
157150,AL,13
173670,AL,15
151470,AL,17
155430,AL,19
153030,AL,21
146350,AL,23
145810,AL,25
137850,AL,27
147620,AL,29
183210,AL,31
175330,AL,33
129640,AL,35
148750,AL,37
153650,AL,39
145650,AL,41
169220,AL,43
160100,AL,45
136380,AL,47
158180,AL,49
176500,AL,51
143960,AL,53
167830,AL,55
144390,AL,57
148140,AL,59
146200,AL,61
136860,AL,63
126610,AL,65
156810,AL,67
187590,AL,69
160000,AL,71
208920,AL,73
144350,AL,75
186260,AL,77
165150,AL,79
171580,AL,81
177820,AL,83
124570,AL,85
137140,AL,87
230910,AL,89
153080,AL,91
153210,AL,93
170890,AL,95
171780,AL,97
148620,AL,99
193580,AL,101
192230,AL,103
109480,AL,105
137460,AL,107
149040,AL,109
141470,AL,111
140150,AL,113
179600,AL,115
271760,AL,117
114910,AL,119
157040,AL,121
169090,AL,123
189980,AL,125
155460,AL,127
140810,AL,129
109030,AL,131
157380,AL,133
226600,US,0
184210,AK,AE
240370,AK,AW
252870,AK,AN
126030,AK,BE
222100,AK,BR
262510,AK,DE
160210,AK,DI
215530,AK,FA
220900,AK,HA
267190,AK,JU
209490,AK,KE
239940,AK,KG
221950,AK,KO
153610,AK,PL
211050,AK,MA
154760,AK,NO
205400,AK,NS
152860,AK,NA
183950,AK,PE
236220,AK,PH
199740,AK,SI
166790,AK,SK
230460,AK,SF
87170,AK,VC
234940,AK,WR
225790,AK,YA
137200,AK,YK
202750,US,0
89860,AZ,1
159880,AZ,3
171390,AZ,5
163150,AZ,7
121390,AZ,9
158140,AZ,11
149160,AZ,12
222510,AZ,13
167880,AZ,15
116090,AZ,17
197850,AZ,19
160250,AZ,21
132780,AZ,23
197270,AZ,25
148020,AZ,27
169040,US,0
164010,AR,1
157020,AR,3
168590,AR,5
193770,AR,7
161750,AR,9
138950,AR,11
155550,AR,13
160030,AR,15
128250,AR,17
145330,AR,19
145120,AR,21
172500,AR,23
153620,AR,25
153220,AR,27
160560,AR,29
170910,AR,31
150150,AR,33
144240,AR,35
157260,AR,37
146100,AR,39
134460,AR,41
162640,AR,43
179880,AR,45
146160,AR,47
157120,AR,49
186310,AR,51
175470,AR,53
164030,AR,55
141030,AR,57
152160,AR,59
155860,AR,61
161630,AR,63
143970,AR,65
145640,AR,67
154170,AR,69
150970,AR,71
141280,AR,73
137850,AR,75
109830,AR,77
124790,AR,79
158990,AR,81
145270,AR,83
173970,AR,85
147360,AR,87
145880,AR,89
164440,AR,91
139780,AR,93
130960,AR,95
146680,AR,97
141840,AR,99
137880,AR,101
151180,AR,103
162160,AR,105
122880,AR,107
153850,AR,109
130870,AR,111
140630,AR,113
159180,AR,115
159070,AR,117
214660,AR,119
145020,AR,121
124830,AR,123
192140,AR,125
136090,AR,127
125360,AR,129
184240,AR,131
141220,AR,133
141430,AR,135
141340,AR,137
160630,AR,139
166030,AR,141
173470,AR,143
158900,AR,145
132690,AR,147
153830,AR,149
227110,US,0
266800,CA,1
244310,CA,3
224120,CA,5
175170,CA,7
214200,CA,9
147300,CA,11
306150,CA,13
145730,CA,15
255600,CA,17
154950,CA,19
140690,CA,21
172030,CA,23
132390,CA,25
196390,CA,27
157600,CA,29
158480,CA,31
168250,CA,33
147490,CA,35
206830,CA,37
146820,CA,39
449620,CA,41
181900,CA,43
194430,CA,45
142570,CA,47
172850,CA,49
234220,CA,51
201650,CA,53
263950,CA,55
240070,CA,57
258260,CA,59
279630,CA,61
193910,CA,63
186890,CA,65
211420,CA,67
209320,CA,69
168560,CA,71
229260,CA,73
345560,CA,75
173650,CA,77
218640,CA,79
360450,CA,81
230590,CA,83
327950,CA,85
263960,CA,87
177380,CA,89
188150,CA,91
175700,CA,93
217310,CA,95
257240,CA,97
169130,CA,99
174280,CA,101
157930,CA,103
168680,CA,105
140060,CA,107
210150,CA,109
246000,CA,111
193650,CA,113
141240,CA,115
240490,US,0
199440,CO,1
150370,CO,3
281470,CO,5
216830,CO,7
150680,CO,9
135670,CO,11
289760,CO,13
0,CO,14
194300,CO,15
178500,CO,17
281600,CO,19
120500,CO,21
107480,CO,23
128360,CO,25
198170,CO,27
171520,CO,29
241010,CO,31
171060,CO,33
348480,CO,35
320110,CO,37
249600,CO,39
220050,CO,41
174200,CO,43
213410,CO,45
261480,CO,47
251980,CO,49
214070,CO,51
223600,CO,53
152420,CO,55
178260,CO,57
280660,CO,59
163820,CO,61
169640,CO,63
185240,CO,65
215340,CO,67
236890,CO,69
168290,CO,71
155100,CO,73
167210,CO,75
187150,CO,77
244750,CO,79
185400,CO,81
170030,CO,83
171580,CO,85
154920,CO,87
151130,CO,89
243350,CO,91
250190,CO,93
163940,CO,95
408110,CO,97
141500,CO,99
171630,CO,101
173440,CO,103
156500,CO,105
287920,CO,107
131210,CO,109
175840,CO,111
353290,CO,113
161250,CO,115
286760,CO,117
234120,CO,119
177880,CO,121
189570,CO,123
160050,CO,125
287660,US,0
383500,CT,1
260470,CT,3
284080,CT,5
282510,CT,7
244390,CT,9
246780,CT,11
254740,CT,13
204430,CT,15
233050,US,0
186620,DE,1
254130,DE,3
203280,DE,5
286590,US,0
286590,DC,1
215570,US,0
184650,FL,1
151640,FL,3
187000,FL,5
142260,FL,7
214840,FL,9
231700,FL,11
123790,FL,13
218060,FL,15
185850,FL,17
208680,FL,19
311950,FL,21
145980,FL,23
140000,FL,27
135590,FL,29
207530,FL,31
186410,FL,33
218790,FL,35
161400,FL,37
144990,FL,39
139850,FL,41
153380,FL,43
144490,FL,45
105620,FL,47
124450,FL,49
136630,FL,51
183210,FL,53
172220,FL,55
218120,FL,57
141350,FL,59
272270,FL,61
139050,FL,63
170060,FL,65
130870,FL,67
201990,FL,69
245420,FL,71
210240,FL,73
147460,FL,75
172250,FL,77
125110,FL,79
223880,FL,81
178480,FL,83
295840,FL,85
184970,FL,86
261020,FL,87
228360,FL,89
209180,FL,91
145530,FL,93
209160,FL,95
170220,FL,97
288010,FL,99
184390,FL,101
234970,FL,103
