Account,Amount,Date,Merchant,Reference,spend category,type
STRING,FLOAT,DATE,STRING,STRING,STRING,STRING
Checking,586.12,8/17/2025,VOLVO FINANCE,,Automobile,BILL PAY
Checking,411.28,9/7/2025,AMERICAN HONDA,,Automobile,BILL PAY
Checking,15.06,9/1/2025,KWIK CAR WASH,,Automobile,ATM
Checking,114.62,8/29/2025,DEPT MOTOR VEHICL,376,Automobile,CHECK
Checking,250,9/8/2025,TARGET,,Clothing and Personal,BILL PAY
Savings,19.42,8/16/2025,CHECK 377,377,Clothing and Personal,CHECK
Savings,500,8/16/2025,TARGET,,Clothing and Personal,ATM
Checking,12.41,8/22/2025,PANERA BREAD,,Restaurant,ATM
Checking,43.64,8/26/2025,SHOOTERS,,Restaurant,ATM
Checking,9.58,8/21/2025,EINSTEIN BAGEL,,Restaurant,ATM
Savings,24.95,8/17/2025,SANTOS PIZZA,,Restaurant,ATM
Checking,12.05,8/26/2025,MOOTOWN CREAMERY,,Restaurant,ATM
Savings,12.88,8/12/2025,PANERA BREAD,,Restaurant,ATM
Checking,22.66,8/26/2025,PARTY CITY,,Restaurant,ATM
Checking,50.01,8/15/2025,DON PABLOS,,Restaurant,ATM
Savings,43.75,9/9/2025,WINKING LIZARD,,Restaurant,ATM
Checking,48.38,9/9/2025,SANTOS PIZZA,,Restaurant,ATM
Savings,129.84,8/30/2025,ILLUMINATING ELEC,,Electric,BILL PAY
Savings,61,8/30/2025,CAVS GUND ARENA,,Entertainment,ATM
Savings,26.75,9/8/2025,CINEMARK MOVIES,,Entertainment,ATM
Checking,37,9/8/2025,CLEVELAND LIVE,,Entertainment,ATM
Savings,15.12,8/27/2025,BOTANICAL GA,,Entertainment,ATM
Checking,24.99,8/31/2025,BORDERS BOOKS,,Entertainment,ATM
Checking,4,8/16/2025,PIN PURCHASE FEE,,Fees,FEES
Checking,8.5,9/1/2025,MAINTENANCE SRVC,,Fees,FEES
Savings,4,8/13/2025,PIN PURCHASE FEE,,Fees,FEES
Savings,8.5,9/2/2025,MAINTENANCE SRVC,,Fees,FEES
Savings,25.16,8/26/2025,BP OIL,,Automobile,ATM
Savings,30.8,8/30/2025,COLUMBIA GAS,,Automobile,ATM
Savings,27.27,9/1/2025,SPEEDWAY,,Automobile,ATM
Checking,28.53,8/25/2025,SHELL OIL,,Automobile,ATM
Savings,29.71,9/6/2025,MAC GAS,,Automobile,ATM
Savings,33.22,9/3/2025,SHELL OIL,,Automobile,ATM
Savings,34.23,9/2/2025,SPEEDWAY,,Automobile,ATM
Savings,58.22,8/26/2025,BJ'S WHOLESALE,,Groceries,ATM
Savings,20.76,8/21/2025,AMERICAN HEALTH,398,Groceries,CHECK
Savings,102.73,9/6/2025,WAL-SAMS,,Groceries,ATM
Savings,71.89,8/31/2025,SAMS CLUB CREDIT,,Groceries,BILL PAY
Savings,17.45,8/16/2025,AMERICAN HEALTH,399,Groceries,CHECK
Checking,51.16,8/29/2025,BJ WHOLESALE,,Groceries,ATM
Savings,406.98,8/13/2025,THE PLAIN DEALER,,Home,BILL PAY
Checking,376.98,9/8/2025,MAC BIRDS,,Home,ATM
Checking,88.28,8/23/2025,ROOT CANDLES,,Home,ATM
Checking,208.51,8/26/2025,NATIONWIDE LIFE,,Insurance,BILL PAY
Checking,137.78,8/19/2025,STATE FARM INSURA,,Insurance,BILL PAY
Savings,38.43,8/29/2025,CONNECTICUT GENER,,Insurance,BILL PAY
Checking,15.4,8/18/2025,CHECK # 319,319,Misc,CHECK
Checking,73,8/13/2025,FLEET BANK MC/VISA,,Misc,BILL PAY
Checking,50,9/9/2025,CHECK # 313,313,Misc,CHECK
Checking,13.75,8/15/2025,CHECK # 385,385,Misc,CHECK
Checking,100,9/1/2025,KEYBANK MC/VISA,,Misc,BILL PAY
Checking,83.91,9/1/2025,CHECK # 392,392,Misc,CHECK
Checking,500,8/17/2025,CHECK # 373,373,Misc,CHECK
Checking,690.75,8/24/2025,CHECK # 383,383,Misc,CHECK
Checking,25,8/23/2025,CHECK # 391,391,Misc,CHECK
Checking,5.9,8/27/2025,CHECK # 366,366,Misc,CHECK
Checking,42.08,8/28/2025,CHECK # 393,393,Misc,CHECK
Checking,46.32,9/3/2025,SBC AMERITECH,,Phone,BILL PAY
Checking,39.79,8/20/2025,SPRINT PCS,,Phone,BILL PAY
Savings,70.07,9/8/2025,DIVISION OF WATER,,Water,BILL PAY
Credit,87.92,8/31/2025,7-ELEVEN,,Misc,CREDIT
Credit,283.96,9/7/2025,AMAZON,,Discretionary,CREDIT
Credit,67.43,8/23/2025,AT&T WIRELESS,,Wireless,CREDIT
Credit,138.88,8/23/2025,AT&T WIRELESS,,Wireless,CREDIT
Credit,26.1,9/4/2025,AT&T WIRELESS,,Wireless,CREDIT
Credit,103.01,8/12/2025,BEST BUY,,Entertainment,CREDIT
Credit,187,8/19/2025,BEST BUY,,Entertainment,CREDIT
Credit,147.4,8/29/2025,BOB'S BAR AND GRILL,,Restaurant,CREDIT
Credit,87.43,8/20/2025,BURGER KING,,Restaurant,CREDIT
Credit,812.35,9/5/2025,DIRECTV,,Entertainment,CREDIT
Credit,16.08,8/21/2025,DISH NETWORK,,Entertainment,CREDIT
Credit,26.43,8/16/2025,EXPRESS,,Clothing and Personal,CREDIT
Credit,34.51,8/24/2025,EXPRESS,,Clothing and Personal,CREDIT
Credit,169.53,9/8/2025,EXPRESS,,Clothing and Personal,CREDIT
Credit,15.22,9/5/2025,JACK-IN-THE-BOX,,Restaurant,CREDIT
